CD_CANDIDATO;NR_VOTAVEL;DS_CARGO;NM_VOTAVEL;NR_PARTIDO;NM_PARTIDO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_COR_RACA;DS_OCUPACAO;DS_ESTADO_CIVIL
893574701;9021;DEPUTADO FEDERAL;GREICE NAOMI YAMAGUCHI;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;13/02/1971;FEMININO;SUPERIOR COMPLETO;AMARELA;EMPRESÁRIO;SOLTEIRO(A)
893508797;1143;DEPUTADO FEDERAL;ELIZARDE DA SILVA SOUSA;11;PROGRESSISTAS;12/07/1995;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;EMPRESÁRIO;DIVORCIADO(A)
893540738;2082;DEPUTADO FEDERAL;AURELIA CINAQUI AMARAL;20;PARTIDO SOCIAL CRISTÃO;19/09/1978;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;EMPRESÁRIO;DIVORCIADO(A)
893501803;5522;DEPUTADO FEDERAL;ADRIANA ALVES DA SILVA RAMALHO;55;PARTIDO SOCIAL DEMOCRÁTICO;02/12/1980;FEMININO;SUPERIOR COMPLETO;BRANCA;EMPRESÁRIO;DIVORCIADO(A)
893498894;4443;DEPUTADO FEDERAL;INES NANY RODRIGUES DA SILVA;44;UNIÃO BRASIL;09/05/1975;FEMININO;ENSINO MÉDIO COMPLETO;PRETA;EMPRESÁRIO;DIVORCIADO(A)
893510601;1887;DEPUTADO FEDERAL;SARA JANE RONCOLATO ZANETTI;18;REDE SUSTENTABILIDADE;07/09/1970;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;EMPRESÁRIO;CASADO(A)
893612732;2866;DEPUTADO FEDERAL;JANAÍNA VALÉRIA BUCKER RIEDO;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;07/03/1972;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;EMPRESÁRIO;CASADO(A)
893517456;40400;DEPUTADO ESTADUAL;RENATA FALZONI;40;PARTIDO SOCIALISTA BRASILEIRO;02/09/1953;FEMININO;SUPERIOR COMPLETO;BRANCA;EMPRESÁRIO;SOLTEIRO(A)
893518942;7019;DEPUTADO FEDERAL;LUANA TRINDADE DA SILVA;70;AVANTE;04/03/1981;FEMININO;ENSINO MÉDIO COMPLETO;PRETA;EMPRESÁRIO;CASADO(A)
893501788;5525;DEPUTADO FEDERAL;FLÁVIA OLIVITO LANCHA ALVES DE OLIVEIRA;55;PARTIDO SOCIAL DEMOCRÁTICO;24/02/1959;FEMININO;SUPERIOR COMPLETO;BRANCA;EMPRESÁRIO;CASADO(A)
893507493;4366;DEPUTADO FEDERAL;MÔNICA GABRIELA BUAVA DE FREITAS;43;PARTIDO VERDE;07/06/1985;FEMININO;SUPERIOR COMPLETO;BRANCA;EMPRESÁRIO;CASADO(A)
893501837;55007;DEPUTADO ESTADUAL;FLÁVIA REGINA ROMANI;55;PARTIDO SOCIAL DEMOCRÁTICO;18/01/1979;FEMININO;SUPERIOR COMPLETO;PARDA;EMPRESÁRIO;SOLTEIRO(A)
893506797;15009;DEPUTADO ESTADUAL;AUDEIDE CARDOSO;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;29/10/1965;FEMININO;ENSINO MÉDIO INCOMPLETO;PRETA;EMPRESÁRIO;SOLTEIRO(A)
893508717;1069;DEPUTADO FEDERAL;BARBARA HUYARA DE OLIVEIRA VICTORIANO KOGOS;10;REPUBLICANOS;21/04/1982;FEMININO;SUPERIOR COMPLETO;PRETA;EMPRESÁRIO;CASADO(A)
893498984;44054;DEPUTADO ESTADUAL;MARI CRISTINA BIZARI;44;UNIÃO BRASIL;02/07/1972;FEMININO;SUPERIOR INCOMPLETO;BRANCA;EMPRESÁRIO;CASADO(A)
893517110;4026;DEPUTADO FEDERAL;JACQUELINE COPQUE DE SANT ANNA PEREIRA;40;PARTIDO SOCIALISTA BRASILEIRO;17/06/1973;FEMININO;SUPERIOR INCOMPLETO;PARDA;EMPRESÁRIO;CASADO(A)
893536420;10026;DEPUTADO ESTADUAL;TEREZINHA DE JESUS NOGUEIRA;10;REPUBLICANOS;06/10/1969;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PARDA;EMPRESÁRIO;SOLTEIRO(A)
893540443;12240;DEPUTADO ESTADUAL;ADRIANO NERES DE OLIVEIRA;12;PARTIDO DEMOCRÁTICO TRABALHISTA;18/11/1988;MASCULINO;SUPERIOR COMPLETO;PRETA;BIÓLOGO;SOLTEIRO(A)
893613961;3638;DEPUTADO FEDERAL;ROBERTO DE PAULA SOUZA;36;AGIR;13/07/1951;MASCULINO;SUPERIOR COMPLETO;PRETA;BIÓLOGO;CASADO(A)
893508239;1602;DEPUTADO FEDERAL;GABRIELA GUERRERO ARIONE;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;21/11/1987;FEMININO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;DIVORCIADO(A)
893503059;77002;DEPUTADO ESTADUAL;VALDINEIA MEIRA MOTA;77;SOLIDARIEDADE;24/03/1981;FEMININO;SUPERIOR COMPLETO;PARDA;PROFESSOR DE ENSINO FUNDAMENTAL;DIVORCIADO(A)
893498935;44433;DEPUTADO ESTADUAL;MARCELO FUSCO;44;UNIÃO BRASIL;09/12/1973;MASCULINO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO MÉDIO;CASADO(A)
893499003;44081;DEPUTADO ESTADUAL;AUGUSTO CÉSAR CORREA NETO;44;UNIÃO BRASIL;08/11/1972;MASCULINO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO MÉDIO;CASADO(A)
893511786;14455;DEPUTADO ESTADUAL;SERGIO ANTONIO;14;PARTIDO TRABALHISTA BRASILEIRO;06/02/1959;MASCULINO;SUPERIOR COMPLETO;PARDA;PROFESSOR DE ENSINO MÉDIO;CASADO(A)
893516222;50567;DEPUTADO ESTADUAL;LUIZ GUEDES DE ALENCAR JUNIOR;50;PARTIDO SOCIALISMO E LIBERDADE;03/09/1976;MASCULINO;SUPERIOR COMPLETO;PRETA;PROFESSOR DE ENSINO MÉDIO;SOLTEIRO(A)
893596693;28069;DEPUTADO ESTADUAL;ROGERIO JACOMO MICHELETTI;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;28/04/1956;MASCULINO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO MÉDIO;CASADO(A)
893508628;13696;DEPUTADO ESTADUAL;CHRISTIANE GRACE GUIMARÃES DA SILVA;13;PARTIDO DOS TRABALHADORES;05/11/1969;FEMININO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO MÉDIO;SOLTEIRO(A)
893518527;70190;DEPUTADO ESTADUAL;KARINA CARLA DA SILVA;70;AVANTE;15/04/1976;FEMININO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO MÉDIO;CASADO(A)
893518899;7035;DEPUTADO FEDERAL;FÁTIMA MAGALHÃES DE OLIVEIRA;70;AVANTE;25/03/1968;FEMININO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO MÉDIO;SOLTEIRO(A)
893540488;12900;DEPUTADO ESTADUAL;EVELYN CRISTINA FERREIRA PAULA;12;PARTIDO DEMOCRÁTICO TRABALHISTA;22/10/1978;FEMININO;SUPERIOR COMPLETO;PARDA;PROFESSOR DE ENSINO MÉDIO;SOLTEIRO(A)
893508703;1020;DEPUTADO FEDERAL;LUIS CLAUDIO FERNANDES MIRANDA;10;REPUBLICANOS;27/03/1980;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;DEPUTADO;CASADO(A)
893508206;2222;DEPUTADO FEDERAL;EDUARDO NANTES BOLSONARO;22;PARTIDO LIBERAL;10/07/1984;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO;CASADO(A)
893507013;22000;DEPUTADO ESTADUAL;DIMAS MECCA SAMPAIO;22;PARTIDO LIBERAL;22/05/1968;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO;CASADO(A)
893508805;1111;DEPUTADO FEDERAL;BRUNO MARCELLO DE OLIVEIRA LIMA;11;PROGRESSISTAS;25/08/1986;MASCULINO;SUPERIOR COMPLETO;BRANCA;DEPUTADO;CASADO(A)
893506941;22120;DEPUTADO ESTADUAL;GILDEVANIO ILSO DOS SANTOS DINIZ;22;PARTIDO LIBERAL;29/08/1986;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;DEPUTADO;DIVORCIADO(A)
893613994;3689;DEPUTADO FEDERAL;MANOEL DOS SANTOS SILVA IRMAO;36;AGIR;02/09/1964;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;DEPUTADO;SOLTEIRO(A)
893508151;2240;DEPUTADO FEDERAL;KATIA DA SILVA SASTRE;22;PARTIDO LIBERAL;04/04/1976;FEMININO;SUPERIOR COMPLETO;BRANCA;DEPUTADO;CASADO(A)
893508143;2227;DEPUTADO FEDERAL;ROSANA DE OLIVEIRA VALLE;22;PARTIDO LIBERAL;08/05/1969;FEMININO;SUPERIOR COMPLETO;BRANCA;DEPUTADO;CASADO(A)
893498949;44678;DEPUTADO ESTADUAL;DONILZETE JOSÉ SOARES;44;UNIÃO BRASIL;08/11/1972;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;VEREADOR;DIVORCIADO(A)
893503085;77513;DEPUTADO ESTADUAL;JOSÉ ALVIM FILHO;77;SOLIDARIEDADE;30/07/1973;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;VEREADOR;SOLTEIRO(A)
893540610;20789;DEPUTADO ESTADUAL;ANDRE MARCOS DE ABREU;20;PARTIDO SOCIAL CRISTÃO;12/10/1966;MASCULINO;SUPERIOR COMPLETO;BRANCA;VEREADOR;DIVORCIADO(A)
893508647;43190;DEPUTADO ESTADUAL;ANGELO PAULINO DA SILVA;43;PARTIDO VERDE;12/12/1977;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;VEREADOR;SOLTEIRO(A)
893498891;4423;DEPUTADO FEDERAL;RODRIGO MEIRA BRITO;44;UNIÃO BRASIL;17/04/1982;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;VEREADOR;SOLTEIRO(A)
893507333;19777;DEPUTADO ESTADUAL;EDSON RODRIGUES;19;PODEMOS;25/05/1983;MASCULINO;SUPERIOR COMPLETO;BRANCA;VEREADOR;CASADO(A)
893507344;19030;DEPUTADO ESTADUAL;JORGE GABRIEL GRASI;19;PODEMOS;30/03/1989;MASCULINO;SUPERIOR COMPLETO;BRANCA;VEREADOR;CASADO(A)
893516150;50501;DEPUTADO ESTADUAL;DJALMA NERY FERREIRA NETO;50;PARTIDO SOCIALISMO E LIBERDADE;06/08/1987;MASCULINO;SUPERIOR COMPLETO;BRANCA;VEREADOR;CASADO(A)
893596696;28023;DEPUTADO ESTADUAL;WELLITON BEZERRA DA SILVA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;05/03/1985;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;VEREADOR;CASADO(A)
893507543;1389;DEPUTADO FEDERAL;ALFREDO ALVES CAVALCANTE;13;PARTIDO DOS TRABALHADORES;24/06/1959;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;VEREADOR;CASADO(A)
893516221;50600;DEPUTADO ESTADUAL;EDMILSON SOUZA SANTOS;50;PARTIDO SOCIALISMO E LIBERDADE;28/04/1972;MASCULINO;SUPERIOR COMPLETO;PRETA;VEREADOR;DIVORCIADO(A)
893507009;22678;DEPUTADO ESTADUAL;ISAC FELIX DOS SANTOS;22;PARTIDO LIBERAL;26/08/1967;MASCULINO;SUPERIOR COMPLETO;PARDA;VEREADOR;CASADO(A)
893498869;4407;DEPUTADO FEDERAL;FELIPE BECARI COMENALE;44;UNIÃO BRASIL;06/03/1987;MASCULINO;SUPERIOR COMPLETO;BRANCA;VEREADOR;SOLTEIRO(A)
893507331;19619;DEPUTADO ESTADUAL;CÉSAR AUGUSTO JOSÉ;19;PODEMOS;17/06/1975;MASCULINO;SUPERIOR COMPLETO;PARDA;VEREADOR;CASADO(A)
893508059;1500;DEPUTADO FEDERAL;MARIO PALUMBO JUNIOR;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;16/08/1974;MASCULINO;SUPERIOR COMPLETO;BRANCA;VEREADOR;CASADO(A)
893509302;222;1º SUPLENTE;ALBERTO ALVES DA FONSECA;22;PARTIDO LIBERAL;07/10/1966;MASCULINO;SUPERIOR COMPLETO;BRANCA;VEREADOR;CASADO(A)
893507538;1377;DEPUTADO FEDERAL;FRANCISCO JOSÉ NOGUEIRA DA SILVA;13;PARTIDO DOS TRABALHADORES;17/07/1972;MASCULINO;SUPERIOR COMPLETO;PRETA;VEREADOR;CASADO(A)
893507320;19490;DEPUTADO ESTADUAL;CARLOS HENRIQUE SILVESTRE GARZON;19;PODEMOS;20/05/1980;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;VEREADOR;SOLTEIRO(A)
893506845;15555;DEPUTADO ESTADUAL;FERNANDA MORENO DA SILVA;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;19/02/1982;FEMININO;SUPERIOR COMPLETO;BRANCA;VEREADOR;SOLTEIRO(A)
893508309;45500;DEPUTADO ESTADUAL;DÉBORA MARCONDES SILVA FERRARESI;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;01/04/1985;FEMININO;SUPERIOR COMPLETO;BRANCA;VEREADOR;CASADO(A)
893516179;50321;DEPUTADO ESTADUAL;BRUNA CHAMAS BIONDI;50;PARTIDO SOCIALISMO E LIBERDADE;29/10/1999;FEMININO;SUPERIOR INCOMPLETO;BRANCA;VEREADOR;SOLTEIRO(A)
893508318;45040;DEPUTADO ESTADUAL;FLÁVIO SPINUCCI JUNIOR;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;19/11/1959;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;OCUPANTE DE CARGO EM COMISSÃO;CASADO(A)
893517440;40121;DEPUTADO ESTADUAL;MÁRIO MEDEIROS NETO;40;PARTIDO SOCIALISTA BRASILEIRO;19/06/1965;MASCULINO;SUPERIOR COMPLETO;BRANCA;SERVENTUÁRIO DE JUSTIÇA;CASADO(A)
893512799;10;GOVERNADOR;TARCISIO GOMES DE FREITAS;10;REPUBLICANOS;19/06/1975;MASCULINO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO FEDERAL;CASADO(A)
893540097;33331;DEPUTADO ESTADUAL;MARCELLO MAZÁRIO COSTA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;21/03/1985;MASCULINO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL;CASADO(A)
893498877;4456;DEPUTADO FEDERAL;FERNANDO CAPEZ;44;UNIÃO BRASIL;22/03/1964;MASCULINO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL;CASADO(A)
893540544;1288;DEPUTADO FEDERAL;ADRIANO CESAR DA SILVEIRA ZAMBELLI;12;PARTIDO DEMOCRÁTICO TRABALHISTA;29/01/1971;MASCULINO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL;CASADO(A)
893612715;2846;DEPUTADO FEDERAL;ALLAN ARONI;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;08/01/1980;MASCULINO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL;SOLTEIRO(A)
893507091;1975;DEPUTADO FEDERAL;JUAREZ JUVÊNCIO DOS SANTOS;19;PODEMOS;13/08/1960;MASCULINO;SUPERIOR COMPLETO;PRETA;SERVIDOR PÚBLICO ESTADUAL;CASADO(A)
893501773;5557;DEPUTADO FEDERAL;SUSANA LAMBERT DE BRITO SILVA;55;PARTIDO SOCIAL DEMOCRÁTICO;05/07/1981;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL;DIVORCIADO(A)
893494603;30015;DEPUTADO ESTADUAL;CAROLINA ZANIRATO BUZONI;30;PARTIDO NOVO;03/11/1973;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL;CASADO(A)
893501857;55855;DEPUTADO ESTADUAL;VANILDA APARECIDA PEREIRA DA SILVA;55;PARTIDO SOCIAL DEMOCRÁTICO;25/07/1972;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL;CASADO(A)
893508279;45452;DEPUTADO ESTADUAL;LEILA BEDANI FERREIRA;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;09/02/1978;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO ESTADUAL;CASADO(A)
893501880;55678;DEPUTADO ESTADUAL;RAIMUNDO FERNANDES DE PAIVA;55;PARTIDO SOCIAL DEMOCRÁTICO;09/07/1964;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;SERVIDOR PÚBLICO MUNICIPAL;CASADO(A)
893518263;51020;DEPUTADO ESTADUAL;WALDENIR CHAGA FILHO;51;PATRIOTA;20/05/1977;MASCULINO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO MUNICIPAL;CASADO(A)
893501769;5527;DEPUTADO FEDERAL;KALED ALI EL MALAT;55;PARTIDO SOCIAL DEMOCRÁTICO;05/03/1976;MASCULINO;SUPERIOR COMPLETO;PARDA;SERVIDOR PÚBLICO MUNICIPAL;CASADO(A)
893540577;1251;DEPUTADO FEDERAL;GILSON DE SOUZA CARVALHO;12;PARTIDO DEMOCRÁTICO TRABALHISTA;13/08/1977;MASCULINO;SUPERIOR COMPLETO;PARDA;SERVIDOR PÚBLICO MUNICIPAL;CASADO(A)
893540444;12124;DEPUTADO ESTADUAL;AIRTON DA COSTA LOURENÇO;12;PARTIDO DEMOCRÁTICO TRABALHISTA;04/01/1959;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;SERVIDOR PÚBLICO MUNICIPAL;SOLTEIRO(A)
893518903;7085;DEPUTADO FEDERAL;ROGÉRIO DE JESUS PAES;70;AVANTE;14/03/1966;MASCULINO;SUPERIOR INCOMPLETO;PARDA;SERVIDOR PÚBLICO MUNICIPAL;SOLTEIRO(A)
893518564;70033;DEPUTADO ESTADUAL;FRANCISCA ROSANA MONTANHER;70;AVANTE;24/09/1962;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO MUNICIPAL;DIVORCIADO(A)
893501810;5556;DEPUTADO FEDERAL;JOSIANE CRISTINA FRANCISCO PIETRO;55;PARTIDO SOCIAL DEMOCRÁTICO;20/04/1979;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO MUNICIPAL;CASADO(A)
893532780;3522;DEPUTADO FEDERAL;MARIA CONCEIÇÃO FRANCO DELFINO;35;PARTIDO DA MULHER BRASILEIRA;02/04/1972;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;SERVIDOR PÚBLICO MUNICIPAL;CASADO(A)
893507507;4344;DEPUTADO FEDERAL;ADALBERTO FELICIO MALUF FILHO;43;PARTIDO VERDE;01/02/1982;MASCULINO;SUPERIOR COMPLETO;BRANCA;DIRETOR DE EMPRESAS;CASADO(A)
893510618;1833;DEPUTADO FEDERAL;MARIA ISABEL LOPES DA CUNHA SOARES;18;REDE SUSTENTABILIDADE;12/02/1971;FEMININO;SUPERIOR COMPLETO;BRANCA;DIRETOR DE EMPRESAS;CASADO(A)
893614010;3676;DEPUTADO FEDERAL;FLAVIO ROBERTO CASIMIRO;36;AGIR;16/02/1983;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;GERENTE;DIVORCIADO(A)
893494501;3008;DEPUTADO FEDERAL;ADAMARIO MAXIMO DOS SANTOS FILHO;30;PARTIDO NOVO;12/05/1966;MASCULINO;SUPERIOR COMPLETO;PARDA;GERENTE;CASADO(A)
893517476;40300;DEPUTADO ESTADUAL;CARMEN DA SILVA FERREIRA;40;PARTIDO SOCIALISTA BRASILEIRO;15/05/1960;FEMININO;SUPERIOR INCOMPLETO;PRETA;GERENTE;SOLTEIRO(A)
893508240;1655;DEPUTADO FEDERAL;MARCELLO FERREIRA DOS SANTOS;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;13/02/1982;MASCULINO;SUPERIOR INCOMPLETO;PRETA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;CASADO(A)
893516142;18777;DEPUTADO ESTADUAL;RAFAEL BERNARDO FERREIRA SANTOS;18;REDE SUSTENTABILIDADE;07/12/1983;MASCULINO;SUPERIOR COMPLETO;BRANCA;BANCÁRIO E ECONOMIÁRIO;CASADO(A)
893502917;7734;DEPUTADO FEDERAL;JOSÉ ANTONIO FERNANDES PAIVA;77;SOLIDARIEDADE;20/02/1959;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;BANCÁRIO E ECONOMIÁRIO;DIVORCIADO(A)
893517539;5115;DEPUTADO FEDERAL;JESSICA VILOCANIA SEVERINO;51;PATRIOTA;05/10/1994;FEMININO;SUPERIOR COMPLETO;BRANCA;SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS;SOLTEIRO(A)
893518278;51700;DEPUTADO ESTADUAL;DILSO PANTALEÃO MANZANO;51;PATRIOTA;13/07/1970;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;SOLTEIRO(A)
893539063;35678;DEPUTADO ESTADUAL;DANIEL RODRIGUES BRANDO;35;PARTIDO DA MULHER BRASILEIRA;30/09/1978;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;CASADO(A)
893510773;3381;DEPUTADO FEDERAL;ARTUR ROGÉRIO GUIMARÃES;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;31/03/1968;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;CASADO(A)
893532790;3580;DEPUTADO FEDERAL;EMERSON JONAS DE OLIVEIRA COSTA;35;PARTIDO DA MULHER BRASILEIRA;25/11/1980;MASCULINO;SUPERIOR COMPLETO;BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;SOLTEIRO(A)
893536388;10317;DEPUTADO ESTADUAL;ROGERIO MOURA TOMAZ;10;REPUBLICANOS;21/01/1972;MASCULINO;SUPERIOR COMPLETO;PRETA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;CASADO(A)
893508956;2310;DEPUTADO FEDERAL;DMITRI PATRICIO DE LIMA;23;CIDADANIA;10/07/1990;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;SOLTEIRO(A)
893616266;90900;DEPUTADO ESTADUAL;AMANDA LIMA DIAS;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;15/07/1987;FEMININO;SUPERIOR COMPLETO;BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;SOLTEIRO(A)
893506848;15023;DEPUTADO ESTADUAL;SUENIRA TEIXEIRA PINTO;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;23/05/1968;FEMININO;SUPERIOR COMPLETO;BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;CASADO(A)
893596662;28248;DEPUTADO ESTADUAL;SHIRLEY VITORIA BERLINI CODREANSCHI;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;29/11/1963;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;CASADO(A)
893539029;35321;DEPUTADO ESTADUAL;VALQUIRIA JUSTINO;35;PARTIDO DA MULHER BRASILEIRA;01/11/1956;FEMININO;SUPERIOR COMPLETO;PRETA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;SOLTEIRO(A)
893574733;9098;DEPUTADO FEDERAL;ELISANGELA CLENILDA NOBREGA;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;05/02/1979;FEMININO;SUPERIOR INCOMPLETO;BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;DIVORCIADO(A)
893540731;2088;DEPUTADO FEDERAL;MARCIO ALVARES DE SOUZA;20;PARTIDO SOCIAL CRISTÃO;05/08/1974;MASCULINO;ENSINO MÉDIO INCOMPLETO;PARDA;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;CASADO(A)
893540133;33105;DEPUTADO ESTADUAL;GENILDO RODRIGUES CASTRO;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;06/07/1966;MASCULINO;SUPERIOR COMPLETO;PARDA;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;CASADO(A)
893596666;28428;DEPUTADO ESTADUAL;CLAUDIA CARVALHO DA ROCHA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;03/03/1970;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PARDA;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;SOLTEIRO(A)
893540100;33713;DEPUTADO ESTADUAL;MARIA LUCINDA RESENDE;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;10/10/1962;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;FAXINEIRO;SOLTEIRO(A)
893507097;1976;DEPUTADO FEDERAL;ILDA MARA REIS;19;PODEMOS;11/08/1972;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;FAXINEIRO;SOLTEIRO(A)
893503112;77059;DEPUTADO ESTADUAL;ELLEN CRISTINA DE MORAES;77;SOLIDARIEDADE;22/06/1989;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;CABELEIREIRO E BARBEIRO;SOLTEIRO(A)
893546507;1547;DEPUTADO FEDERAL;KARLA JULIANE DA SILVA ALVES FRANCISCO;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;26/07/1988;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;CABELEIREIRO E BARBEIRO;CASADO(A)
893540489;12443;DEPUTADO ESTADUAL;VERÔNICA EVANGELISTA DOS SANTOS;12;PARTIDO DEMOCRÁTICO TRABALHISTA;03/05/1971;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA;CABELEIREIRO E BARBEIRO;SOLTEIRO(A)
893614008;3662;DEPUTADO FEDERAL;CICERO SANTANA DA SILVA;36;AGIR;13/02/1962;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;CASADO(A)
893616271;90722;DEPUTADO ESTADUAL;PAULO JOSE GONÇALVES;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;18/04/1964;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA;MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;VIÚVO(A)
893501801;5586;DEPUTADO FEDERAL;ALESSANDRO RUIZ MARTINEZ;55;PARTIDO SOCIAL DEMOCRÁTICO;03/11/1974;MASCULINO;SUPERIOR COMPLETO;BRANCA;TAXISTA;CASADO(A)
893518575;70840;DEPUTADO ESTADUAL;LUIZ ANTONIO CIRINO;70;AVANTE;13/06/1963;MASCULINO;ENSINO MÉDIO INCOMPLETO;PRETA;MOTORISTA PARTICULAR;DIVORCIADO(A)
