NR_VOTAVEL;CD_CANDIDATO;DS_CARGO;NM_VOTAVEL;NR_PARTIDO;NM_PARTIDO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_COR_RACA;DS_OCUPACAO;DS_ESTADO_CIVIL
4007;893548217;DEPUTADO FEDERAL;MARCELLO LEONARDI BEZERRA;40;PARTIDO SOCIALISTA BRASILEIRO;05/12/1971;MASCULINO;SUPERIOR COMPLETO;BRANCA;ECONOMISTA;CASADO(A)
40525;893517442;DEPUTADO ESTADUAL;WAINES MOREIRA ALVES;40;PARTIDO SOCIALISTA BRASILEIRO;28/10/1967;MASCULINO;SUPERIOR COMPLETO;PARDA;CONTADOR;DIVORCIADO(A)
3047;893494553;DEPUTADO FEDERAL;RAFAEL DOS ANJOS SILVA;30;PARTIDO NOVO;16/01/1983;MASCULINO;SUPERIOR COMPLETO;BRANCA;CONTADOR;CASADO(A)
9016;893574727;DEPUTADO FEDERAL;GENERSON JOSE FAUSTINO;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;30/09/1980;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;SOLTEIRO(A)
35635;893539096;DEPUTADO ESTADUAL;LUIS RENATO PINTO DE OLIVEIRA;35;PARTIDO DA MULHER BRASILEIRA;20/05/1971;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;DIVORCIADO(A)
70440;893518578;DEPUTADO ESTADUAL;JONEIDE GOMES LOPES;70;AVANTE;18/06/1953;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;ADMINISTRADOR;DIVORCIADO(A)
30022;893494624;DEPUTADO ESTADUAL;WILSON DE MELLO JUNIOR;30;PARTIDO NOVO;18/11/1952;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
1844;893510635;DEPUTADO FEDERAL;MARIO DONIZETE D ANDREA;18;REDE SUSTENTABILIDADE;13/02/1975;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;DIVORCIADO(A)
15345;893506820;DEPUTADO ESTADUAL;MARCELO COSTA DEL BOSCO AMARAL;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;25/03/1972;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
16461;893508376;DEPUTADO ESTADUAL;FERNANDO DE SOUZA;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;03/09/1953;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
1456;893501705;DEPUTADO FEDERAL;GUILHERME SORICILLO BUNGER;14;PARTIDO TRABALHISTA BRASILEIRO;01/07/1972;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
12720;893540473;DEPUTADO ESTADUAL;RAFAEL TURRINI PURGATO;12;PARTIDO DEMOCRÁTICO TRABALHISTA;28/09/1983;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
2377;893508954;DEPUTADO FEDERAL;ELDO PEDRO DA SILVA;23;CIDADANIA;10/10/1977;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
14699;893511753;DEPUTADO ESTADUAL;SIDINEI GIRON;14;PARTIDO TRABALHISTA BRASILEIRO;22/01/1960;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
1371;893507530;DEPUTADO FEDERAL;FABIO SILVA CALIXTO;13;PARTIDO DOS TRABALHADORES;11/08/1993;MASCULINO;SUPERIOR COMPLETO;PRETA;ADMINISTRADOR;SOLTEIRO(A)
1219;893540574;DEPUTADO FEDERAL;DANIEL MONTEIRO COSTA;12;PARTIDO DEMOCRÁTICO TRABALHISTA;28/02/1964;MASCULINO;SUPERIOR COMPLETO;INDÍGENA;ADMINISTRADOR;CASADO(A)
1297;893540589;DEPUTADO FEDERAL;GLAUCE KELLY DOS SANTOS ADÃO LIMA;12;PARTIDO DEMOCRÁTICO TRABALHISTA;09/07/1967;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
4027;893517098;DEPUTADO FEDERAL;KATIANE DA COSTA PEREIRA;40;PARTIDO SOCIALISTA BRASILEIRO;31/05/1982;FEMININO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
50012;893516192;DEPUTADO ESTADUAL;JÉSSICA MARQUES RIBEIRO;50;PARTIDO SOCIALISMO E LIBERDADE;02/04/1993;FEMININO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;SOLTEIRO(A)
51300;893518246;DEPUTADO ESTADUAL;ZELINDA DRAGO;51;PATRIOTA;08/08/1978;FEMININO;SUPERIOR COMPLETO;BRANCA;ADMINISTRADOR;CASADO(A)
5088;893510624;DEPUTADO FEDERAL;SÔNIA BONE DE SOUSA SILVA SANTOS;50;PARTIDO SOCIALISMO E LIBERDADE;06/03/1974;FEMININO;SUPERIOR COMPLETO;INDÍGENA;ADMINISTRADOR;DIVORCIADO(A)
1280;893540545;DEPUTADO FEDERAL;AMÉRICO ALEXANDRE CIANFARANI XAVIER;12;PARTIDO DEMOCRÁTICO TRABALHISTA;23/04/1974;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;ANALISTA DE SISTEMAS;SOLTEIRO(A)
3022;893494541;DEPUTADO FEDERAL;FATIMA REGINA PORTELLA OLIVEIRA;30;PARTIDO NOVO;06/08/1964;FEMININO;SUPERIOR COMPLETO;BRANCA;ANALISTA DE SISTEMAS;CASADO(A)
1499;893501689;DEPUTADO FEDERAL;MICHAEL DELLA TORRE NETO;14;PARTIDO TRABALHISTA BRASILEIRO;17/06/1985;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;DIVORCIADO(A)
35000;893539048;DEPUTADO ESTADUAL;LAERCIO BENKO LOPES;35;PARTIDO DA MULHER BRASILEIRA;25/03/1973;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;DIVORCIADO(A)
15277;893506812;DEPUTADO ESTADUAL;PLAUTO JOSE RIBEIRO HOLTZ MORAES;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;03/10/1977;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;SOLTEIRO(A)
44411;893498922;DEPUTADO ESTADUAL;LEANDRO CALDEIRA NAVA;44;UNIÃO BRASIL;23/01/1981;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
44944;893498941;DEPUTADO ESTADUAL;RUBENS LOBATO PINHEIRO NETO;44;UNIÃO BRASIL;08/05/1989;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
9064;893574725;DEPUTADO FEDERAL;CLEBER DOS SANTOS TEIXEIRA;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;10/11/1966;MASCULINO;SUPERIOR COMPLETO;PARDA;ADVOGADO;DIVORCIADO(A)
55511;893543216;DEPUTADO ESTADUAL;ANDRE PEREIRA DE MEDEIROS;55;PARTIDO SOCIAL DEMOCRÁTICO;24/11/1977;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
11111;893509098;DEPUTADO ESTADUAL;JOÃO JORGE FADEL FILHO;11;PROGRESSISTAS;10/01/1983;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;SOLTEIRO(A)
2239;893508163;DEPUTADO FEDERAL;FREDERICK WASSEF;22;PARTIDO LIBERAL;13/11/1965;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;SOLTEIRO(A)
1987;893507156;DEPUTADO FEDERAL;GUILHERME CAMPO DALL ORTO LEITE DO AMARAL;19;PODEMOS;02/10/1977;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
18441;893516167;DEPUTADO ESTADUAL;EDILSON RODRIGO NOGUEIRA MARCIANO;18;REDE SUSTENTABILIDADE;04/08/1986;MASCULINO;SUPERIOR COMPLETO;PRETA;ADVOGADO;DIVORCIADO(A)
1999;893507092;DEPUTADO FEDERAL;MÁRIO COVAS NETO;19;PODEMOS;24/04/1959;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
1345;893507540;DEPUTADO FEDERAL;GILBERTO ANTONIO LUIZ;13;PARTIDO DOS TRABALHADORES;17/08/1962;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
45;893509282;GOVERNADOR;RODRIGO GARCIA;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;10/05/1974;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
12512;893540466;DEPUTADO ESTADUAL;SIDNEI TAVARES MEDEIROS;12;PARTIDO DEMOCRÁTICO TRABALHISTA;23/01/1981;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
44077;893498933;DEPUTADO ESTADUAL;RAFAEL SARAIVA GAIA;44;UNIÃO BRASIL;23/10/1993;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;SOLTEIRO(A)
45007;893508310;DEPUTADO ESTADUAL;DOMINGOS COSTA MINÉZIO GALLÉ;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;07/04/1977;MASCULINO;SUPERIOR COMPLETO;PARDA;ADVOGADO;CASADO(A)
3334;893510772;DEPUTADO FEDERAL;ARTUR CESAR BONACCORSI;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;17/06/1970;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
20820;893540644;DEPUTADO ESTADUAL;ADILSON RIBEIRO;20;PARTIDO SOCIAL CRISTÃO;29/04/1967;MASCULINO;SUPERIOR COMPLETO;PARDA;ADVOGADO;CASADO(A)
40283;893517436;DEPUTADO ESTADUAL;FABRICIO SANCHES MESTRINER;40;PARTIDO SOCIALISTA BRASILEIRO;15/04/1978;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
1358;893507495;DEPUTADO FEDERAL;ALENCAR SANTANA BRAGA;13;PARTIDO DOS TRABALHADORES;14/03/1976;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
12311;893540505;DEPUTADO ESTADUAL;PAULO HENRIQUE RIBEIRO FLORIANO;12;PARTIDO DEMOCRÁTICO TRABALHISTA;08/03/1965;MASCULINO;SUPERIOR COMPLETO;PRETA;ADVOGADO;CASADO(A)
4093;893517095;DEPUTADO FEDERAL;JOÃO AFONSO SOLIS;40;PARTIDO SOCIALISTA BRASILEIRO;01/05/1956;MASCULINO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;SEPARADO(A) JUDICIALMENTE
51051;893518293;DEPUTADO ESTADUAL;EVERTON LUIZ FERNANDES SODARIO RAIMUNDO;51;PATRIOTA;12/07/1993;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;ADVOGADO;SOLTEIRO(A)
19888;893507280;DEPUTADO ESTADUAL;JAE KRUN PARK KIM;19;PODEMOS;06/06/1972;FEMININO;SUPERIOR COMPLETO;AMARELA;ADVOGADO;CASADO(A)
14143;893511742;DEPUTADO ESTADUAL;NOEMIA VIEIRA FONSECA;14;PARTIDO TRABALHISTA BRASILEIRO;24/11/1952;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;DIVORCIADO(A)
4056;893633475;DEPUTADO FEDERAL;RIVANDA OLIVEIRA RIELI;40;PARTIDO SOCIALISTA BRASILEIRO;02/10/1954;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
18111;893516157;DEPUTADO ESTADUAL;OLINDA CAETANO GARCIA;18;REDE SUSTENTABILIDADE;04/01/1955;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;DIVORCIADO(A)
19798;893507322;DEPUTADO ESTADUAL;DEISE DUARTE;19;PODEMOS;10/12/1975;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;SOLTEIRO(A)
19179;893507278;DEPUTADO ESTADUAL;CRISTIANE VIVIAN ALVES GOMES;19;PODEMOS;27/11/1976;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
70010;893518531;DEPUTADO ESTADUAL;FRANCISCA QUELINDEJARA VASCONCELOS SOBIESKI;70;AVANTE;17/08/1962;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
35350;893539107;DEPUTADO ESTADUAL;VIVIAN FILETO MARTINS DOS SANTOS;35;PARTIDO DA MULHER BRASILEIRA;27/05/1986;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;CASADO(A)
2298;893508202;DEPUTADO FEDERAL;SAMIRA SILOTI;22;PARTIDO LIBERAL;04/06/1983;FEMININO;SUPERIOR COMPLETO;BRANCA;ADVOGADO;SOLTEIRO(A)
18199;893516176;DEPUTADO ESTADUAL;LILIAN CRISTINA DOS SANTOS FARIA;18;REDE SUSTENTABILIDADE;21/07/1976;FEMININO;SUPERIOR COMPLETO;PARDA;ADVOGADO;SOLTEIRO(A)
50500;893516188;DEPUTADO ESTADUAL;DÉBORA ALVES CAMILO;50;PARTIDO SOCIALISMO E LIBERDADE;02/12/1979;FEMININO;SUPERIOR COMPLETO;PRETA;ADVOGADO;SOLTEIRO(A)
40600;893517472;DEPUTADO ESTADUAL;ANDRÉA DAS NEVES NERI DE SANTANA;40;PARTIDO SOCIALISTA BRASILEIRO;14/07/1988;FEMININO;SUPERIOR COMPLETO;PRETA;ADVOGADO;SOLTEIRO(A)
50009;893516202;DEPUTADO ESTADUAL;DENISE FERNANDES DE SOUZA PANTALEÃO;50;PARTIDO SOCIALISMO E LIBERDADE;22/11/1983;FEMININO;SUPERIOR COMPLETO;PRETA;ADVOGADO;CASADO(A)
55999;893501878;DEPUTADO ESTADUAL;SILVIA ELIANA PALMA;55;PARTIDO SOCIAL DEMOCRÁTICO;18/07/1958;FEMININO;SUPERIOR COMPLETO;BRANCA;PSICÓLOGO;SOLTEIRO(A)
2989;893596847;DEPUTADO FEDERAL;SIMONE CRISTINA SOUZA;29;PARTIDO DA CAUSA OPERÁRIA;19/09/1968;FEMININO;SUPERIOR COMPLETO;BRANCA;PSICÓLOGO;DIVORCIADO(A)
2777;893592114;DEPUTADO FEDERAL;GISELE DE MORAES PONTES;27;DEMOCRACIA CRISTÃ;24/08/1989;FEMININO;SUPERIOR COMPLETO;PARDA;PSICÓLOGO;SOLTEIRO(A)
1367;893507498;DEPUTADO FEDERAL;SANDRA APARECIDA MADEU IDA;13;PARTIDO DOS TRABALHADORES;05/07/1966;FEMININO;SUPERIOR COMPLETO;BRANCA;PSICÓLOGO;VIÚVO(A)
13789;893508637;DEPUTADO ESTADUAL;ROMULO CESAR FERNANDES;13;PARTIDO DOS TRABALHADORES;08/02/1963;MASCULINO;SUPERIOR COMPLETO;PARDA;SOCIÓLOGO;CASADO(A)
20003;893540634;DEPUTADO ESTADUAL;ELZA DIAS AMARO;20;PARTIDO SOCIAL CRISTÃO;26/01/1971;FEMININO;SUPERIOR COMPLETO;PARDA;ASSISTENTE SOCIAL;DIVORCIADO(A)
7789;893502904;DEPUTADO FEDERAL;ALINE CRISTINA DE SOUZA UBIDA;77;SOLIDARIEDADE;02/02/1983;FEMININO;SUPERIOR COMPLETO;BRANCA;ASSISTENTE SOCIAL;CASADO(A)
5524;893501789;DEPUTADO FEDERAL;MARIA APARECIDA ALCÂNTARA DE SOUSA;55;PARTIDO SOCIAL DEMOCRÁTICO;14/11/1961;FEMININO;SUPERIOR COMPLETO;BRANCA;ASSISTENTE SOCIAL;SOLTEIRO(A)
1034;893508722;DEPUTADO FEDERAL;MARIA APARECIDA FIRMINO;10;REPUBLICANOS;12/10/1968;FEMININO;SUPERIOR COMPLETO;PARDA;ASSISTENTE SOCIAL;VIÚVO(A)
15333;893506798;DEPUTADO ESTADUAL;ALLINY FERNANDA SARTORI PADALINO ROGÉRIO;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;24/03/1986;FEMININO;SUPERIOR COMPLETO;BRANCA;RELAÇÕES-PÚBLICAS;SOLTEIRO(A)
800;893498834;SENADOR;VIVIAN MENDES DA SILVA;80;UNIDADE POPULAR;13/01/1981;FEMININO;SUPERIOR COMPLETO;BRANCA;RELAÇÕES-PÚBLICAS;DIVORCIADO(A)
23888;893508307;DEPUTADO ESTADUAL;LI LI MIN;23;CIDADANIA;18/05/1964;MASCULINO;SUPERIOR COMPLETO;AMARELA;PROFESSOR DE ENSINO SUPERIOR;CASADO(A)
1361;893507539;DEPUTADO FEDERAL;GERALDO MARTINS DE SOUZA;13;PARTIDO DOS TRABALHADORES;26/11/1967;MASCULINO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO SUPERIOR;CASADO(A)
5010;893510593;DEPUTADO FEDERAL;GUILHERME CASTRO BOULOS;50;PARTIDO SOCIALISMO E LIBERDADE;19/06/1982;MASCULINO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO SUPERIOR;SOLTEIRO(A)
2245;893508164;DEPUTADO FEDERAL;ARMANDO BEGA;22;PARTIDO LIBERAL;05/04/1961;MASCULINO;SUPERIOR COMPLETO;PARDA;PROFESSOR DE ENSINO SUPERIOR;CASADO(A)
7779;893502898;DEPUTADO FEDERAL;ROBSON JOSE DOS SANTOS;77;SOLIDARIEDADE;14/11/1979;MASCULINO;SUPERIOR COMPLETO;PRETA;PROFESSOR DE ENSINO SUPERIOR;CASADO(A)
2279;893508142;DEPUTADO FEDERAL;ELIANA BERTA FERNANDES CORRAL;22;PARTIDO LIBERAL;07/09/1968;FEMININO;SUPERIOR COMPLETO;BRANCA;PROFESSOR DE ENSINO SUPERIOR;CASADO(A)
1156;893508815;DEPUTADO FEDERAL;JHONATAN ARAUJO PANHAGUA;11;PROGRESSISTAS;09/10/1990;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;BOMBEIRO CIVIL;CASADO(A)
5178;893517552;DEPUTADO FEDERAL;MARLENE MARIA RAMOS;51;PATRIOTA;03/04/1957;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;CATADOR DE RECICLÁVEIS;CASADO(A)
3369;893510787;DEPUTADO FEDERAL;FRANCISCO JOSÉ DA CRUZ FILHO;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;29/08/1969;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;TÉCNICO DE LABORATÓRIO E RAIOS X;CASADO(A)
40010;893517453;DEPUTADO ESTADUAL;VANDERLEI NERES PEREIRA;40;PARTIDO SOCIALISTA BRASILEIRO;04/04/1968;MASCULINO;SUPERIOR COMPLETO;PARDA;MÚSICO;SOLTEIRO(A)
1532;893508066;DEPUTADO FEDERAL;LUIZ LAURO FERREIRA;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;23/08/1951;MASCULINO;ENSINO MÉDIO INCOMPLETO;BRANCA;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;CASADO(A)
1914;893507157;DEPUTADO FEDERAL;JÚLIO CÉSAR GARCIA;19;PODEMOS;14/01/1980;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;SOLTEIRO(A)
7051;893518883;DEPUTADO FEDERAL;CLAUDINEI ALEXANDRE PIRES;70;AVANTE;10/09/1970;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PRETA;ATLETA PROFISSIONAL E TÉCNICO EM DESPORTOS;CASADO(A)
55234;893501827;DEPUTADO ESTADUAL;CHUKWUEMEKA UJOR;55;PARTIDO SOCIAL DEMOCRÁTICO;05/02/1963;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;COMERCIANTE;CASADO(A)
77000;893503124;DEPUTADO ESTADUAL;ÁTILA CESAR MONTEIRO JACOMUSSI;77;SOLIDARIEDADE;09/08/1973;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;COMERCIANTE;DIVORCIADO(A)
20022;893540611;DEPUTADO ESTADUAL;LUIS DONIZETTI VAZ JUNIOR;20;PARTIDO SOCIAL CRISTÃO;25/05/1978;MASCULINO;SUPERIOR COMPLETO;BRANCA;COMERCIANTE;CASADO(A)
36100;893618162;DEPUTADO ESTADUAL;SILVIO DO CARMO CAMARGO;36;AGIR;30/09/1962;MASCULINO;SUPERIOR COMPLETO;BRANCA;COMERCIANTE;CASADO(A)
14177;893511734;DEPUTADO ESTADUAL;CLAUDIO AUGUSTO PEREIRA;14;PARTIDO TRABALHISTA BRASILEIRO;20/12/1967;MASCULINO;SUPERIOR INCOMPLETO;PRETA;COMERCIANTE;CASADO(A)
1996;893507146;DEPUTADO FEDERAL;LUIZ SCALEA;19;PODEMOS;07/03/1967;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;COMERCIANTE;CASADO(A)
28433;893596630;DEPUTADO ESTADUAL;JOEL DE OLIVEIRA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;25/10/1972;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA;COMERCIANTE;CASADO(A)
50333;893516209;DEPUTADO ESTADUAL;ALBA SOLANGE CHALITA DA SILVA;50;PARTIDO SOCIALISMO E LIBERDADE;02/02/1965;FEMININO;LÊ E ESCREVE;BRANCA;COMERCIANTE;DIVORCIADO(A)
55005;893501843;DEPUTADO ESTADUAL;MIRTES GONÇALVES QUEIROZ;55;PARTIDO SOCIAL DEMOCRÁTICO;07/10/1956;FEMININO;SUPERIOR COMPLETO;BRANCA;COMERCIANTE;DIVORCIADO(A)
3312;893510802;DEPUTADO FEDERAL;MARIA APARECIDA DE SOUZA MARQUES;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;12/10/1957;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;COMERCIANTE;CASADO(A)
70180;893518610;DEPUTADO ESTADUAL;SANDRA DAMASCENO NUNES DE MIRANDA;70;AVANTE;22/10/1979;FEMININO;ENSINO MÉDIO COMPLETO;PRETA;COMERCIANTE;CASADO(A)
5528;893501784;DEPUTADO FEDERAL;TALMA CRISTINA NONAKA;55;PARTIDO SOCIAL DEMOCRÁTICO;28/03/1965;FEMININO;SUPERIOR COMPLETO;BRANCA;COMERCIANTE;VIÚVO(A)
2035;893540725;DEPUTADO FEDERAL;JUCILENE ALVES DA SILVA;20;PARTIDO SOCIAL CRISTÃO;09/07/1970;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;COMERCIANTE;SOLTEIRO(A)
5152;893517548;DEPUTADO FEDERAL;FELIPE AUGUSTO TEDESCHI LINTZ;51;PATRIOTA;08/05/1995;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;JORNALISTA E REDATOR;CASADO(A)
35180;893539095;DEPUTADO ESTADUAL;PAULO DE OLIVEIRA ENEAS;35;PARTIDO DA MULHER BRASILEIRA;12/08/1963;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;JORNALISTA E REDATOR;SOLTEIRO(A)
1220;893540578;DEPUTADO FEDERAL;GILVANDRO JOSÉ ALVES DE OLIVEIRA FILHO;12;PARTIDO DEMOCRÁTICO TRABALHISTA;10/12/1975;MASCULINO;SUPERIOR COMPLETO;PARDA;JORNALISTA E REDATOR;CASADO(A)
1855;893510617;DEPUTADO FEDERAL;MARCO ANTONIO BATISTA;18;REDE SUSTENTABILIDADE;14/04/1963;MASCULINO;SUPERIOR COMPLETO;PRETA;JORNALISTA E REDATOR;CASADO(A)
44722;893498978;DEPUTADO ESTADUAL;VIVIANE SOARES DE OLIVEIRA ALVES;44;UNIÃO BRASIL;21/02/1985;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;JORNALISTA E REDATOR;CASADO(A)
55212;893501872;DEPUTADO ESTADUAL;CAROLINA ANGELELLI;55;PARTIDO SOCIAL DEMOCRÁTICO;21/02/1980;FEMININO;SUPERIOR COMPLETO;BRANCA;JORNALISTA E REDATOR;SOLTEIRO(A)
30777;893494604;DEPUTADO ESTADUAL;CRISTIANE PEREIRA MACEDO;30;PARTIDO NOVO;06/08/1980;FEMININO;SUPERIOR COMPLETO;PARDA;JORNALISTA E REDATOR;SOLTEIRO(A)
50075;893516206;DEPUTADO ESTADUAL;ANA CLAUDIA SILVA MIELKE;50;PARTIDO SOCIALISMO E LIBERDADE;06/10/1978;FEMININO;SUPERIOR COMPLETO;PRETA;JORNALISTA E REDATOR;SOLTEIRO(A)
40000;893517454;DEPUTADO ESTADUAL;ANDRÉA WERNER SILVA BONOLI;40;PARTIDO SOCIALISTA BRASILEIRO;30/11/1975;FEMININO;SUPERIOR COMPLETO;BRANCA;JORNALISTA E REDATOR;CASADO(A)
2900;893596846;DEPUTADO FEDERAL;LISIA SAKAI;29;PARTIDO DA CAUSA OPERÁRIA;17/11/1965;FEMININO;SUPERIOR INCOMPLETO;BRANCA;JORNALISTA E REDATOR;SOLTEIRO(A)
1299;893540559;DEPUTADO FEDERAL;RAFAEL ANTONIO DE SOUZA;12;PARTIDO DEMOCRÁTICO TRABALHISTA;15/02/1978;MASCULINO;SUPERIOR COMPLETO;BRANCA;PUBLICITÁRIO;DIVORCIADO(A)
1580;893508086;DEPUTADO FEDERAL;FÁBIO EDUARDO DE OLIVEIRA TERUEL;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;22/10/1971;MASCULINO;SUPERIOR COMPLETO;BRANCA;PUBLICITÁRIO;SOLTEIRO(A)
43773;893508654;DEPUTADO ESTADUAL;JOEL MOREIRA PASSOS JUNIOR;43;PARTIDO VERDE;15/04/1990;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;PUBLICITÁRIO;SOLTEIRO(A)
2845;893612716;DEPUTADO FEDERAL;DANIELE FERNANDES FERREIRA MARQUES;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;24/11/1963;FEMININO;SUPERIOR COMPLETO;BRANCA;PUBLICITÁRIO;SOLTEIRO(A)
10007;893536430;DEPUTADO ESTADUAL;CLEUSA APARECIDA DOS SANTOS;10;REPUBLICANOS;10/06/1976;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;COZINHEIRO;CASADO(A)
19020;893620409;DEPUTADO ESTADUAL;URIÃ FANCELLI BAUMGARTNER;19;PODEMOS;13/05/1991;MASCULINO;SUPERIOR COMPLETO;BRANCA;ESCRITOR E CRÍTICO;CASADO(A)
30999;893494588;DEPUTADO ESTADUAL;ANDRÉ LUIZ NAVARRO GARCIA MANZANO;30;PARTIDO NOVO;13/09/1970;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;ESCRITOR E CRÍTICO;CASADO(A)
55011;893501886;DEPUTADO ESTADUAL;PAULA FONSECA ESTEVES;55;PARTIDO SOCIAL DEMOCRÁTICO;31/08/1981;FEMININO;SUPERIOR COMPLETO;BRANCA;ESCRITOR E CRÍTICO;SOLTEIRO(A)
4071;893517097;DEPUTADO FEDERAL;JOSÉ FLORIANO DE ARAUJO JUNIOR;40;PARTIDO SOCIALISTA BRASILEIRO;24/07/1966;MASCULINO;SUPERIOR COMPLETO;BRANCA;FERROVIÁRIO;CASADO(A)
1334;893507531;DEPUTADO FEDERAL;FERNANDA MENDES PRADO;13;PARTIDO DOS TRABALHADORES;13/07/1982;FEMININO;SUPERIOR INCOMPLETO;BRANCA;ARTISTA PLÁSTICO E ASSEMELHADOS;SOLTEIRO(A)
44350;893621748;DEPUTADO ESTADUAL;MARCIA LENTZ;44;UNIÃO BRASIL;25/06/1961;FEMININO;SUPERIOR COMPLETO;BRANCA;PEDAGOGO;SOLTEIRO(A)
